clause,document,section,status,justification
6.2.4.6,EX-SCMP-001,section 2,compliant,
6.2.4.7,EX-SCMP-001,section 2,compliant,
6.2.4.8,EX-SCMP-001,section 2,compliant,
6.2.4.9,EX-SCMP-001,section 2,compliant,
6.2.4.10,EX-SCMP-001,section 2,compliant,
6.2.4.11,EX-SCMP-001,section 2,compliant,
6.2.4.12,EX-SCMP-001,section 2,compliant,
6.2.5.1,EX-SPAP-001,section 10,compliant,
6.2.5.2,EX-SPAP-001,section 10,compliant,
6.2.5.3,EX-SPAP-001,section 10,compliant,
6.2.5.4,EX-SPAP-001,section 10,compliant,
6.2.5.5,EX-SPAP-001,section 10,compliant,
6.2.6.1,EX-SVERP-001,section 2,compliant,
6.2.6.2,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.3,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.4,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.5,EX-SVR-001,section 3,compliant,
6.2.6.6,EX-SVR-001,section 4,compliant,
6.2.6.7,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.8,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.9,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.10,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.11,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.12,EX-SVERP-001,section 3,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 3, evidence expected at CDR"
6.2.6.13,EX-SVERP-001,section 6,compliant,
6.2.7.1,EX-SRF-001,section 2,compliant,
6.2.7.2,EX-SRF-001,section 2,compliant,
6.2.7.3,EX-SRF-001,section 2,compliant,
6.2.7.4,EX-SRF-001,section 2,compliant,
6.2.7.5,EX-SRF-001,section 2,compliant,
6.2.7.6,EX-SRF-001,section 2,compliant,
6.2.7.7,EX-SRF-001,section 2,compliant,
6.2.7.8,EX-SRF-001,section 2,compliant,
6.2.7.9,EX-SRF-001,section 2,compliant,
6.2.7.10,EX-SRF-001,section 2,compliant,
6.2.7.11,EX-SRF-001,section 2,compliant,
6.2.8.1,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.2.8.2,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.2.8.3,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.2.8.4,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.2.8.5,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.2.8.6,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.2.8.7,EX-SDP-001,section 7.3,not-applicable,no automatic code generation is used
6.3.1.1,EX-RB-001,section 2,compliant,
6.3.1.2,EX-RB-001,section 2,compliant,
6.3.1.3,EX-RB-001,section 2,compliant,
6.3.2.1,EX-TS-001,section 2,compliant,
6.3.2.2,EX-TS-001,section 2,compliant,
6.3.2.3,EX-TS-001,section 2,compliant,
6.3.2.4,EX-TS-001,section 2,compliant,
6.3.2.5,EX-TS-001,section 2,compliant,
6.3.3.1,EX-DSTD-001,section 1,compliant,
6.3.3.2,EX-DSTD-001,section 2,compliant,
6.3.3.3,EX-SPAP-001,section 11.1,compliant,
6.3.3.4,EX-SDP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 4, evidence expected at CDR"
6.3.3.5,EX-SDP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 4, evidence expected at CDR"
6.3.3.6,EX-SDP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 4, evidence expected at CDR"
6.3.3.7,EX-SDP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 4, evidence expected at CDR"
6.3.4.1,EX-CSTD-001,section 1,compliant,
6.3.4.2,EX-CSTD-001,section 2,compliant,
6.3.4.3,EX-SPAP-001,section 11.2,compliant,
6.3.4.4,EX-CSTD-001,section 3,compliant,
6.3.4.5,EX-SDP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 5, evidence expected at CDR"
6.3.4.6,EX-SDP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 5, evidence expected at CDR"
6.3.4.7,EX-SDP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 5, evidence expected at CDR"
6.3.4.8,EX-SDP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 5, evidence expected at CDR"
6.3.5.1,EX-SVALP-001,section 2,compliant,
6.3.5.2,EX-SVALP-001,section 3,compliant,
6.3.5.3,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.4,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.5,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.6,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.7,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.8,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.9,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.10,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.11,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.12,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.13,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.14,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.15,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.16,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.17,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.18,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.19,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.20,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.21,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.22,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.23,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.24,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.25,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.26,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.27,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.28,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.29,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.30,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.31,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.32,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.5.33,EX-SVALP-001,section 4,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 4, evidence expected at QR"
6.3.6.1,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.6.2,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.6.3,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.6.4,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.7.1,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.7.2,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.7.3,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.7.5,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.7.6,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.7.7,EX-SDP-001,section 8,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 8, evidence expected at AR"
6.3.8.1,EX-SDP-001,section 9,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 9, evidence expected at ORR"
6.3.8.2,EX-SDP-001,section 9,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 9, evidence expected at ORR"
6.3.8.3,EX-SDP-001,section 9,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 9, evidence expected at ORR"
6.3.9.1,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
6.3.9.2,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
6.3.9.3,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
6.3.9.4,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
6.3.9.5,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
6.3.9.6,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
6.3.9.7,EX-SDP-001,section 10,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 10, evidence expected at QR"
7.1.1,EX-SPAP-001,section 5,compliant,
7.1.2,EX-SPAP-001,section 5,compliant,
7.1.3,EX-SPAP-001,section 5,compliant,
7.1.4,EX-SPAP-001,section 5,compliant,
7.1.5,EX-SPAP-001,section 5,compliant,
7.1.6,EX-SPAP-001,section 5,compliant,
7.1.7,EX-SVERP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVERP-001 5, evidence expected at CDR"
7.1.8,EX-SPAR-2026-Q3,section 3,partially-compliant,maturity trend needs three reporting periods; one available
7.2.1.1,EX-TS-001,section 3,compliant,
7.2.1.2,EX-TS-001,section 3,compliant,
7.2.1.3,EX-TS-001,section 3,compliant,
7.2.2.1,EX-SDP-001,section 4.2,compliant,
7.2.2.2,EX-SDP-001,section 4.2,compliant,
7.2.2.3,EX-SDP-001,section 4.2,compliant,
7.2.3.1,EX-SVALP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 5, evidence expected at CDR"
7.2.3.2,EX-SVALP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 5, evidence expected at CDR"
7.2.3.3,EX-SVALP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 5, evidence expected at CDR"
7.2.3.4,EX-SVALP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 5, evidence expected at CDR"
7.2.3.5,EX-SVALP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 5, evidence expected at CDR"
7.2.3.6,EX-SVALP-001,section 5,partially-compliant,"activity falls after PDR; planned in EX-SVALP-001 5, evidence expected at CDR"
7.3.1,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.3.2,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.3.3,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.3.4,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.3.5,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.3.6,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.3.7,EX-SPAP-001,section 12,not-applicable,the software is not developed for reuse by others
7.5.1,EX-SPAP-001,section 13,not-applicable,no programmable devices in the delivery
7.5.2,EX-SPAP-001,section 13,not-applicable,no programmable devices in the delivery
7.5.3,EX-SPAP-001,section 13,not-applicable,no programmable devices in the delivery
6.3.7.4,EX-SDP-001,section 8,partially-compliant,row carried over from an earlier matrix
